driver_id,team_id,gp_number,year,compound,stint_start_lap,tyre_life,is_valid
VER,red_bull,1,2022,C3,1.0,17.0,1
VER,red_bull,1,2022,C3,15.0,16.0,1
VER,red_bull,1,2022,C2,31.0,13.0,1
VER,red_bull,1,2022,C3,44.0,14.0,1
GAS,racing_bulls,1,2022,C3,1.0,17.0,1
GAS,racing_bulls,1,2022,C2,15.0,18.0,1
GAS,racing_bulls,1,2022,C1,33.0,13.0,1
PER,red_bull,1,2022,C3,1.0,18.0,1
PER,red_bull,1,2022,C2,16.0,18.0,1
PER,red_bull,1,2022,C3,34.0,13.0,1
PER,red_bull,1,2022,C3,44.0,17.0,1
ALO,alpine,1,2022,C3,1.0,14.0,1
ALO,alpine,1,2022,C2,12.0,14.0,1
ALO,alpine,1,2022,C1,26.0,17.0,1
ALO,alpine,1,2022,C3,43.0,15.0,1
LEC,ferrari,1,2022,C3,1.0,15.0,1
LEC,ferrari,1,2022,C3,16.0,19.0,1
LEC,ferrari,1,2022,C2,32.0,15.0,1
LEC,ferrari,1,2022,C3,47.0,14.0,1
STR,aston_martin,1,2022,C3,1.0,18.0,1
STR,aston_martin,1,2022,C3,19.0,20.0,1
STR,aston_martin,1,2022,C2,39.0,7.0,1
STR,aston_martin,1,2022,C3,46.0,12.0,1
MAG,haas,1,2022,C3,1.0,14.0,1
MAG,haas,1,2022,C3,15.0,23.0,1
MAG,haas,1,2022,C2,35.0,12.0,1
MAG,haas,1,2022,C3,47.0,14.0,1
TSU,racing_bulls,1,2022,C3,1.0,15.0,1
TSU,racing_bulls,1,2022,C2,16.0,14.0,1
TSU,racing_bulls,1,2022,C3,30.0,15.0,1
TSU,racing_bulls,1,2022,C3,45.0,16.0,1
ALB,williams,1,2022,C3,1.0,13.0,1
ALB,williams,1,2022,C2,14.0,22.0,1
ALB,williams,1,2022,C2,36.0,13.0,1
ALB,williams,1,2022,C3,47.0,14.0,1
ZHO,sauber,1,2022,C3,1.0,15.0,1
ZHO,sauber,1,2022,C2,16.0,22.0,1
ZHO,sauber,1,2022,C2,38.0,8.0,1
ZHO,sauber,1,2022,C3,46.0,15.0,1
HUL,aston_martin,1,2022,C3,1.0,19.0,1
HUL,aston_martin,1,2022,C3,20.0,18.0,1
HUL,aston_martin,1,2022,C2,38.0,7.0,1
HUL,aston_martin,1,2022,C3,45.0,13.0,1
RIC,mclaren,1,2022,C2,1.0,17.0,1
RIC,mclaren,1,2022,C3,18.0,16.0,1
RIC,mclaren,1,2022,C1,34.0,11.0,1
RIC,mclaren,1,2022,C3,45.0,13.0,1
OCO,alpine,1,2022,C3,1.0,14.0,1
OCO,alpine,1,2022,C2,15.0,16.0,1
OCO,alpine,1,2022,C1,31.0,13.0,1
OCO,alpine,1,2022,C3,44.0,17.0,1
NOR,mclaren,1,2022,C2,1.0,24.0,1
NOR,mclaren,1,2022,C1,25.0,17.0,1
NOR,mclaren,1,2022,C3,42.0,4.0,1
NOR,mclaren,1,2022,C3,46.0,15.0,1
HAM,mercedes,1,2022,C3,1.0,13.0,1
HAM,mercedes,1,2022,C1,12.0,17.0,1
HAM,mercedes,1,2022,C2,28.0,17.0,1
HAM,mercedes,1,2022,C3,45.0,16.0,1
MSC,haas,1,2022,C3,1.0,12.0,1
MSC,haas,1,2022,C2,13.0,23.0,1
MSC,haas,1,2022,C3,36.0,24.0,1
SAI,ferrari,1,2022,C3,1.0,17.0,1
SAI,ferrari,1,2022,C3,15.0,19.0,1
SAI,ferrari,1,2022,C2,34.0,11.0,1
SAI,ferrari,1,2022,C3,45.0,16.0,1
LAT,williams,1,2022,C3,1.0,14.0,1
LAT,williams,1,2022,C3,15.0,18.0,1
LAT,williams,1,2022,C2,33.0,13.0,1
LAT,williams,1,2022,C3,46.0,15.0,1
RUS,mercedes,1,2022,C3,1.0,18.0,1
RUS,mercedes,1,2022,C1,16.0,19.0,1
RUS,mercedes,1,2022,C2,34.0,12.0,1
RUS,mercedes,1,2022,C3,46.0,14.0,1
BOT,sauber,1,2022,C3,1.0,17.0,1
BOT,sauber,1,2022,C2,15.0,22.0,1
BOT,sauber,1,2022,C2,37.0,9.0,1
VER,red_bull,2,2022,C3,1.0,16.0,1
VER,red_bull,2,2022,C2,17.0,34.0,1
GAS,racing_bulls,2,2022,C3,1.0,15.0,1
GAS,racing_bulls,2,2022,C2,16.0,35.0,1
PER,red_bull,2,2022,C3,1.0,15.0,1
PER,red_bull,2,2022,C2,16.0,35.0,1
ALO,alpine,2,2022,C3,1.0,16.0,1
ALO,alpine,2,2022,C2,17.0,20.0,1
LEC,ferrari,2,2022,C3,1.0,16.0,1
LEC,ferrari,2,2022,C2,17.0,34.0,1
STR,aston_martin,2,2022,C3,1.0,14.0,1
STR,aston_martin,2,2022,C2,14.0,37.0,1
MAG,haas,2,2022,C2,1.0,39.0,1
