driver_id,team_id,circut_length,year,compound,stint_start_lap,tyre_life,is_valid
VER,red_bull,5.412,2022,SOFT,1.0,17.0,1
VER,red_bull,5.412,2022,SOFT,15.0,16.0,1
VER,red_bull,5.412,2022,MEDIUM,31.0,13.0,1
VER,red_bull,5.412,2022,SOFT,44.0,14.0,1
GAS,racing_bulls,5.412,2022,SOFT,1.0,17.0,1
GAS,racing_bulls,5.412,2022,MEDIUM,15.0,18.0,1
PER,red_bull,5.412,2022,SOFT,1.0,18.0,1
PER,red_bull,5.412,2022,MEDIUM,16.0,18.0,1
PER,red_bull,5.412,2022,SOFT,34.0,13.0,1
PER,red_bull,5.412,2022,SOFT,44.0,17.0,1
ALO,alpine,5.412,2022,SOFT,1.0,14.0,1
ALO,alpine,5.412,2022,MEDIUM,12.0,14.0,1
ALO,alpine,5.412,2022,SOFT,43.0,15.0,1
LEC,ferrari,5.412,2022,SOFT,1.0,15.0,1
LEC,ferrari,5.412,2022,SOFT,16.0,19.0,1
LEC,ferrari,5.412,2022,MEDIUM,32.0,15.0,1
LEC,ferrari,5.412,2022,SOFT,47.0,14.0,1
STR,aston_martin,5.412,2022,SOFT,1.0,18.0,1
STR,aston_martin,5.412,2022,SOFT,19.0,20.0,1
STR,aston_martin,5.412,2022,SOFT,46.0,12.0,1
MAG,haas,5.412,2022,SOFT,1.0,14.0,1
MAG,haas,5.412,2022,SOFT,15.0,23.0,1
MAG,haas,5.412,2022,MEDIUM,35.0,12.0,1
MAG,haas,5.412,2022,SOFT,47.0,14.0,1
TSU,racing_bulls,5.412,2022,SOFT,1.0,15.0,1
TSU,racing_bulls,5.412,2022,MEDIUM,16.0,14.0,1
TSU,racing_bulls,5.412,2022,SOFT,30.0,15.0,1
TSU,racing_bulls,5.412,2022,SOFT,45.0,16.0,1
ALB,williams,5.412,2022,SOFT,1.0,13.0,1
ALB,williams,5.412,2022,MEDIUM,14.0,22.0,1
ALB,williams,5.412,2022,MEDIUM,36.0,13.0,1
ALB,williams,5.412,2022,SOFT,47.0,14.0,1
ZHO,sauber,5.412,2022,SOFT,1.0,15.0,1
ZHO,sauber,5.412,2022,MEDIUM,16.0,22.0,1
ZHO,sauber,5.412,2022,SOFT,46.0,15.0,1
HUL,aston_martin,5.412,2022,SOFT,1.0,19.0,1
HUL,aston_martin,5.412,2022,SOFT,20.0,18.0,1
HUL,aston_martin,5.412,2022,SOFT,45.0,13.0,1
RIC,mclaren,5.412,2022,MEDIUM,1.0,17.0,1
RIC,mclaren,5.412,2022,SOFT,18.0,16.0,1
RIC,mclaren,5.412,2022,SOFT,45.0,13.0,1
OCO,alpine,5.412,2022,SOFT,1.0,14.0,1
