driver_id,team_id,race_name,year,compound,stint_start_lap,tyre_life,is_valid
VER,red_bull,Bahrain Grand Prix,2022,SOFT,1.0,17.0,1
VER,red_bull,Bahrain Grand Prix,2022,SOFT,15.0,16.0,1
VER,red_bull,Bahrain Grand Prix,2022,MEDIUM,31.0,13.0,1
VER,red_bull,Bahrain Grand Prix,2022,SOFT,44.0,14.0,1
GAS,racing_bulls,Bahrain Grand Prix,2022,SOFT,1.0,17.0,1
GAS,racing_bulls,Bahrain Grand Prix,2022,MEDIUM,15.0,18.0,1
GAS,racing_bulls,Bahrain Grand Prix,2022,HARD,33.0,13.0,0
PER,red_bull,Bahrain Grand Prix,2022,SOFT,1.0,18.0,1
PER,red_bull,Bahrain Grand Prix,2022,MEDIUM,16.0,18.0,1
PER,red_bull,Bahrain Grand Prix,2022,SOFT,34.0,13.0,1
PER,red_bull,Bahrain Grand Prix,2022,SOFT,44.0,17.0,1
ALO,alpine,Bahrain Grand Prix,2022,SOFT,1.0,14.0,1
ALO,alpine,Bahrain Grand Prix,2022,MEDIUM,12.0,14.0,1
ALO,alpine,Bahrain Grand Prix,2022,HARD,26.0,17.0,0
ALO,alpine,Bahrain Grand Prix,2022,SOFT,43.0,15.0,1
LEC,ferrari,Bahrain Grand Prix,2022,SOFT,1.0,15.0,1
LEC,ferrari,Bahrain Grand Prix,2022,SOFT,16.0,19.0,1
LEC,ferrari,Bahrain Grand Prix,2022,MEDIUM,32.0,15.0,1
LEC,ferrari,Bahrain Grand Prix,2022,SOFT,47.0,14.0,1
STR,aston_martin,Bahrain Grand Prix,2022,SOFT,1.0,18.0,1
STR,aston_martin,Bahrain Grand Prix,2022,SOFT,19.0,20.0,1
STR,aston_martin,Bahrain Grand Prix,2022,MEDIUM,39.0,7.0,0
STR,aston_martin,Bahrain Grand Prix,2022,SOFT,46.0,12.0,1
MAG,haas,Bahrain Grand Prix,2022,SOFT,1.0,14.0,1
MAG,haas,Bahrain Grand Prix,2022,SOFT,15.0,23.0,1
MAG,haas,Bahrain Grand Prix,2022,MEDIUM,35.0,12.0,1
MAG,haas,Bahrain Grand Prix,2022,SOFT,47.0,14.0,1
TSU,racing_bulls,Bahrain Grand Prix,2022,SOFT,1.0,15.0,1
TSU,racing_bulls,Bahrain Grand Prix,2022,MEDIUM,16.0,14.0,1
TSU,racing_bulls,Bahrain Grand Prix,2022,SOFT,30.0,15.0,1
TSU,racing_bulls,Bahrain Grand Prix,2022,SOFT,45.0,16.0,1
ALB,williams,Bahrain Grand Prix,2022,SOFT,1.0,13.0,1
ALB,williams,Bahrain Grand Prix,2022,MEDIUM,14.0,22.0,1
ALB,williams,Bahrain Grand Prix,2022,MEDIUM,36.0,13.0,1
