driver_id,race_name,year,compound,stint_start_lap,tyre_life,is_valid
VER,Bahrain Grand Prix,2022,SOFT,1.0,17.0,1
VER,Bahrain Grand Prix,2022,SOFT,15.0,16.0,1
VER,Bahrain Grand Prix,2022,MEDIUM,31.0,13.0,1
GAS,Bahrain Grand Prix,2022,SOFT,44.0,14.0,1
GAS,Bahrain Grand Prix,2022,SOFT,1.0,17.0,1
GAS,Bahrain Grand Prix,2022,MEDIUM,15.0,18.0,1
PER,Bahrain Grand Prix,2022,SOFT,1.0,18.0,1
PER,Bahrain Grand Prix,2022,MEDIUM,16.0,18.0,1
PER,Bahrain Grand Prix,2022,SOFT,34.0,13.0,1
ALO,Bahrain Grand Prix,2022,SOFT,44.0,17.0,1
ALO,Bahrain Grand Prix,2022,SOFT,1.0,14.0,1
ALO,Bahrain Grand Prix,2022,MEDIUM,12.0,14.0,1
LEC,Bahrain Grand Prix,2022,SOFT,43.0,15.0,1
LEC,Bahrain Grand Prix,2022,SOFT,1.0,15.0,1
LEC,Bahrain Grand Prix,2022,SOFT,16.0,19.0,1
LEC,Bahrain Grand Prix,2022,MEDIUM,32.0,15.0,1
STR,Bahrain Grand Prix,2022,SOFT,47.0,14.0,1
STR,Bahrain Grand Prix,2022,SOFT,1.0,18.0,1
STR,Bahrain Grand Prix,2022,SOFT,19.0,20.0,1
MAG,Bahrain Grand Prix,2022,SOFT,46.0,12.0,1
MAG,Bahrain Grand Prix,2022,SOFT,1.0,14.0,1
MAG,Bahrain Grand Prix,2022,SOFT,15.0,23.0,1
MAG,Bahrain Grand Prix,2022,MEDIUM,35.0,12.0,1
TSU,Bahrain Grand Prix,2022,SOFT,47.0,14.0,1
TSU,Bahrain Grand Prix,2022,SOFT,1.0,15.0,1
TSU,Bahrain Grand Prix,2022,MEDIUM,16.0,14.0,1
TSU,Bahrain Grand Prix,2022,SOFT,30.0,15.0,1
ALB,Bahrain Grand Prix,2022,SOFT,45.0,16.0,1
ALB,Bahrain Grand Prix,2022,SOFT,1.0,13.0,1
ALB,Bahrain Grand Prix,2022,MEDIUM,14.0,22.0,1
ALB,Bahrain Grand Prix,2022,MEDIUM,36.0,13.0,1
ZHO,Bahrain Grand Prix,2022,SOFT,47.0,14.0,1
ZHO,Bahrain Grand Prix,2022,SOFT,1.0,15.0,1
ZHO,Bahrain Grand Prix,2022,MEDIUM,16.0,22.0,1
HUL,Bahrain Grand Prix,2022,SOFT,46.0,15.0,1
HUL,Bahrain Grand Prix,2022,SOFT,1.0,19.0,1
HUL,Bahrain Grand Prix,2022,SOFT,20.0,18.0,1
RIC,Bahrain Grand Prix,2022,SOFT,45.0,13.0,1
RIC,Bahrain Grand Prix,2022,MEDIUM,1.0,17.0,1
RIC,Bahrain Grand Prix,2022,SOFT,18.0,16.0,1
OCO,Bahrain Grand Prix,2022,SOFT,45.0,13.0,1
OCO,Bahrain Grand Prix,2022,SOFT,1.0,14.0,1
OCO,Bahrain Grand Prix,2022,MEDIUM,15.0,16.0,1
NOR,Bahrain Grand Prix,2022,SOFT,44.0,17.0,1
NOR,Bahrain Grand Prix,2022,MEDIUM,1.0,24.0,1
HAM,Bahrain Grand Prix,2022,SOFT,46.0,15.0,1
HAM,Bahrain Grand Prix,2022,SOFT,1.0,13.0,1
HAM,Bahrain Grand Prix,2022,MEDIUM,28.0,17.0,1
MSC,Bahrain Grand Prix,2022,SOFT,45.0,16.0,1
MSC,Bahrain Grand Prix,2022,SOFT,1.0,12.0,1
MSC,Bahrain Grand Prix,2022,MEDIUM,13.0,23.0,1
SAI,Bahrain Grand Prix,2022,SOFT,36.0,24.0,1
SAI,Bahrain Grand Prix,2022,SOFT,1.0,17.0,1
