driver_id,race_length,year,compound,stint_start_lap,tyre_life,is_valid
VER,5.412,2022,SOFT,1.0,17.0,1
VER,5.412,2022,SOFT,15.0,16.0,1
VER,5.412,2022,MEDIUM,31.0,13.0,1
GAS,5.412,2022,SOFT,44.0,14.0,1
GAS,5.412,2022,SOFT,1.0,17.0,1
GAS,5.412,2022,MEDIUM,15.0,18.0,1
PER,5.412,2022,SOFT,1.0,18.0,1
PER,5.412,2022,MEDIUM,16.0,18.0,1
PER,5.412,2022,SOFT,34.0,13.0,1
ALO,5.412,2022,SOFT,44.0,17.0,1
ALO,5.412,2022,SOFT,1.0,14.0,1
ALO,5.412,2022,MEDIUM,12.0,14.0,1
LEC,5.412,2022,SOFT,43.0,15.0,1
LEC,5.412,2022,SOFT,1.0,15.0,1
LEC,5.412,2022,SOFT,16.0,19.0,1
LEC,5.412,2022,MEDIUM,32.0,15.0,1
STR,5.412,2022,SOFT,47.0,14.0,1
STR,5.412,2022,SOFT,1.0,18.0,1
STR,5.412,2022,SOFT,19.0,20.0,1
MAG,5.412,2022,SOFT,46.0,12.0,1
MAG,5.412,2022,SOFT,1.0,14.0,1
MAG,5.412,2022,SOFT,15.0,23.0,1
MAG,5.412,2022,MEDIUM,35.0,12.0,1
TSU,5.412,2022,SOFT,47.0,14.0,1
TSU,5.412,2022,SOFT,1.0,15.0,1
TSU,5.412,2022,MEDIUM,16.0,14.0,1
TSU,5.412,2022,SOFT,30.0,15.0,1
ALB,5.412,2022,SOFT,45.0,16.0,1
ALB,5.412,2022,SOFT,1.0,13.0,1
ALB,5.412,2022,MEDIUM,14.0,22.0,1
ALB,5.412,2022,MEDIUM,36.0,13.0,1
ZHO,5.412,2022,SOFT,47.0,14.0,1
ZHO,5.412,2022,SOFT,1.0,15.0,1
ZHO,5.412,2022,MEDIUM,16.0,22.0,1
HUL,5.412,2022,SOFT,46.0,15.0,1
HUL,5.412,2022,SOFT,1.0,19.0,1
HUL,5.412,2022,SOFT,20.0,18.0,1
RIC,5.412,2022,SOFT,45.0,13.0,1
RIC,5.412,2022,MEDIUM,1.0,17.0,1
RIC,5.412,2022,SOFT,18.0,16.0,1
OCO,5.412,2022,SOFT,45.0,13.0,1
OCO,5.412,2022,SOFT,1.0,14.0,1
OCO,5.412,2022,MEDIUM,15.0,16.0,1
NOR,5.412,2022,SOFT,44.0,17.0,1
NOR,5.412,2022,MEDIUM,1.0,24.0,1
HAM,5.412,2022,SOFT,46.0,15.0,1
HAM,5.412,2022,SOFT,1.0,13.0,1
HAM,5.412,2022,MEDIUM,28.0,17.0,1
MSC,5.412,2022,SOFT,45.0,16.0,1
MSC,5.412,2022,SOFT,1.0,12.0,1
MSC,5.412,2022,MEDIUM,13.0,23.0,1
SAI,5.412,2022,SOFT,36.0,24.0,1
SAI,5.412,2022,SOFT,1.0,17.0,1
SAI,5.412,2022,SOFT,15.0,19.0,1
LAT,5.412,2022,SOFT,45.0,16.0,1
LAT,5.412,2022,SOFT,1.0,14.0,1
LAT,5.412,2022,SOFT,15.0,18.0,1
LAT,5.412,2022,MEDIUM,33.0,13.0,1
RUS,5.412,2022,SOFT,46.0,15.0,1
RUS,5.412,2022,SOFT,1.0,18.0,1
RUS,5.412,2022,HARD,16.0,19.0,1
RUS,5.412,2022,MEDIUM,34.0,12.0,1
BOT,5.412,2022,SOFT,46.0,14.0,1
BOT,5.412,2022,SOFT,1.0,17.0,1
BOT,5.412,2022,MEDIUM,15.0,22.0,1
VER,6.174,2022,MEDIUM,1.0,16.0,1
GAS,6.174,2022,HARD,17.0,34.0,1
GAS,6.174,2022,MEDIUM,1.0,15.0,1
PER,6.174,2022,HARD,16.0,35.0,1
PER,6.174,2022,MEDIUM,1.0,15.0,1
ALO,6.174,2022,HARD,16.0,35.0,1
