circut_length,compound,tyre_life
5.412,SOFT,17.0
5.412,SOFT,16.0
5.412,MEDIUM,13.0
5.412,SOFT,14.0
5.412,SOFT,17.0
5.412,MEDIUM,18.0
5.412,HARD,13.0
5.412,SOFT,18.0
5.412,MEDIUM,18.0
5.412,SOFT,13.0
5.412,SOFT,17.0
5.412,SOFT,14.0
5.412,MEDIUM,14.0
5.412,HARD,17.0
5.412,SOFT,15.0
5.412,SOFT,15.0
5.412,SOFT,19.0
5.412,MEDIUM,15.0
5.412,SOFT,14.0
5.412,SOFT,18.0
5.412,SOFT,20.0
5.412,MEDIUM,7.0
5.412,SOFT,12.0
5.412,SOFT,14.0
5.412,SOFT,23.0
5.412,MEDIUM,12.0
5.412,SOFT,14.0
5.412,SOFT,15.0
5.412,MEDIUM,14.0
5.412,SOFT,15.0
5.412,SOFT,16.0
5.412,SOFT,13.0
5.412,MEDIUM,22.0
5.412,MEDIUM,13.0
5.412,SOFT,14.0
5.412,SOFT,15.0
5.412,MEDIUM,22.0
5.412,MEDIUM,8.0
5.412,SOFT,15.0
5.412,SOFT,19.0
5.412,SOFT,18.0
5.412,MEDIUM,7.0
5.412,SOFT,13.0
5.412,MEDIUM,17.0
5.412,SOFT,16.0
5.412,HARD,11.0
5.412,SOFT,13.0
5.412,SOFT,14.0
5.412,MEDIUM,16.0
5.412,HARD,13.0
5.412,SOFT,17.0
5.412,MEDIUM,24.0
5.412,HARD,17.0
5.412,SOFT,4.0
5.412,SOFT,15.0
5.412,SOFT,13.0
5.412,HARD,17.0
5.412,MEDIUM,17.0
5.412,SOFT,16.0
5.412,SOFT,12.0
5.412,MEDIUM,23.0
5.412,SOFT,24.0
5.412,SOFT,17.0
5.412,SOFT,19.0
5.412,MEDIUM,11.0
5.412,SOFT,16.0
5.412,SOFT,14.0
5.412,SOFT,18.0
5.412,MEDIUM,13.0
5.412,SOFT,15.0
5.412,SOFT,18.0
5.412,HARD,19.0
5.412,MEDIUM,12.0
5.412,SOFT,14.0
5.412,SOFT,17.0
5.412,MEDIUM,22.0
5.412,MEDIUM,9.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,15.0
6.174,HARD,35.0
6.174,MEDIUM,15.0
6.174,HARD,35.0
6.174,MEDIUM,16.0
6.174,HARD,20.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,14.0
6.174,HARD,37.0
6.174,HARD,39.0
6.174,MEDIUM,15.0
6.174,MEDIUM,13.0
6.174,HARD,35.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,HARD,38.0
6.174,MEDIUM,14.0
6.174,MEDIUM,8.0
6.174,HARD,28.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,HARD,41.0
6.174,MEDIUM,10.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,15.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,16.0
6.174,HARD,19.0
5.278,MEDIUM,18.0
5.278,HARD,21.0
5.278,MEDIUM,21.0
5.278,HARD,37.0
5.278,MEDIUM,20.0
5.278,HARD,38.0
5.278,HARD,39.0
5.278,MEDIUM,14.0
5.278,MEDIUM,4.0
5.278,MEDIUM,22.0
5.278,HARD,36.0
5.278,HARD,4.0
5.278,MEDIUM,3.0
5.278,HARD,19.0
5.278,HARD,39.0
5.278,HARD,39.0
5.278,MEDIUM,20.0
5.278,MEDIUM,18.0
5.278,HARD,39.0
5.278,HARD,57.0
5.278,SOFT,1.0
5.278,MEDIUM,21.0
5.278,HARD,37.0
5.278,MEDIUM,21.0
5.278,HARD,37.0
5.278,MEDIUM,17.0
5.278,HARD,41.0
5.278,MEDIUM,20.0
5.278,HARD,38.0
5.278,MEDIUM,22.0
5.278,HARD,36.0
5.278,MEDIUM,16.0
5.278,HARD,43.0
5.278,HARD,24.0
5.278,HARD,2.0
5.278,MEDIUM,13.0
5.278,HARD,11.0
5.278,HARD,34.0
5.278,MEDIUM,23.0
5.278,HARD,35.0
5.278,MEDIUM,22.0
4.909,MEDIUM,32.0
4.909,SOFT,12.0
4.909,MEDIUM,32.0
4.909,SOFT,13.0
4.909,MEDIUM,44.0
4.909,MEDIUM,45.0
4.909,MEDIUM,45.0
4.909,MEDIUM,30.0
4.909,SOFT,4.0
4.909,SOFT,10.0
4.909,MEDIUM,45.0
4.909,MEDIUM,48.0
4.909,MEDIUM,47.0
4.909,MEDIUM,46.0
4.909,MEDIUM,45.0
4.909,MEDIUM,45.0
4.909,MEDIUM,44.0
