driver_id,team_id,gp_number,year,compound,last_lap_number,tyre_life
VER,red_bull,1,2023,C3,14.0,17.0
VER,red_bull,1,2023,C3,36.0,22.0
VER,red_bull,1,2023,C1,57.0,21.0
GAS,alpine,1,2023,C3,9.0,9.0
GAS,alpine,1,2023,C1,25.0,16.0
GAS,alpine,1,2023,C1,40.0,15.0
GAS,alpine,1,2023,C3,57.0,17.0
PER,red_bull,1,2023,C3,17.0,20.0
PER,red_bull,1,2023,C3,34.0,19.0
PER,red_bull,1,2023,C1,57.0,23.0
ALO,aston_martin,1,2023,C3,14.0,17.0
ALO,aston_martin,1,2023,C1,34.0,20.0
ALO,aston_martin,1,2023,C1,57.0,23.0
LEC,ferrari,1,2023,C3,13.0,13.0
LEC,ferrari,1,2023,C1,33.0,20.0
LEC,ferrari,1,2023,C1,40.0,7.0
STR,aston_martin,1,2023,C3,15.0,18.0
STR,aston_martin,1,2023,C1,30.0,15.0
STR,aston_martin,1,2023,C1,57.0,27.0
SAR,williams,1,2023,C3,12.0,12.0
SAR,williams,1,2023,C3,30.0,18.0
SAR,williams,1,2023,C1,40.0,10.0
SAR,williams,1,2023,C3,56.0,16.0
MAG,haas,1,2023,C1,15.0,15.0
MAG,haas,1,2023,C1,29.0,14.0
MAG,haas,1,2023,C3,40.0,11.0
MAG,haas,1,2023,C3,56.0,16.0
DEV,alphatauri,1,2023,C3,11.0,11.0
DEV,alphatauri,1,2023,C1,27.0,16.0
DEV,alphatauri,1,2023,C1,56.0,29.0
TSU,alphatauri,1,2023,C3,10.0,10.0
TSU,alphatauri,1,2023,C1,26.0,16.0
TSU,alphatauri,1,2023,C1,40.0,14.0
TSU,alphatauri,1,2023,C3,57.0,20.0
ALB,williams,1,2023,C3,11.0,11.0
ALB,williams,1,2023,C3,26.0,15.0
ALB,williams,1,2023,C1,40.0,14.0
ALB,williams,1,2023,C3,57.0,17.0
ZHO,alfa,1,2023,C3,12.0,12.0
ZHO,alfa,1,2023,C1,32.0,20.0
ZHO,alfa,1,2023,C3,54.0,25.0
ZHO,alfa,1,2023,C3,56.0,5.0
HUL,haas,1,2023,C3,11.0,14.0
HUL,haas,1,2023,C1,26.0,15.0
HUL,haas,1,2023,C1,40.0,14.0
HUL,haas,1,2023,C3,56.0,19.0
OCO,alpine,1,2023,C3,12.0,15.0
OCO,alpine,1,2023,C1,32.0,20.0
OCO,alpine,1,2023,C1,41.0,9.0
NOR,mclaren,1,2023,C3,10.0,10.0
NOR,mclaren,1,2023,C1,17.0,7.0
NOR,mclaren,1,2023,C3,27.0,13.0
NOR,mclaren,1,2023,C2,37.0,10.0
NOR,mclaren,1,2023,C1,47.0,10.0
NOR,mclaren,1,2023,C3,54.0,11.0
NOR,mclaren,1,2023,C3,55.0,7.0
HAM,mercedes,1,2023,C3,12.0,15.0
HAM,mercedes,1,2023,C1,30.0,18.0
HAM,mercedes,1,2023,C1,57.0,27.0
SAI,ferrari,1,2023,C3,13.0,16.0
SAI,ferrari,1,2023,C1,31.0,18.0
SAI,ferrari,1,2023,C1,57.0,26.0
RUS,mercedes,1,2023,C3,13.0,16.0
RUS,mercedes,1,2023,C1,31.0,18.0
RUS,mercedes,1,2023,C1,57.0,26.0
BOT,alfa,1,2023,C3,11.0,11.0
BOT,alfa,1,2023,C1,29.0,18.0
BOT,alfa,1,2023,C1,57.0,28.0
